N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,9e-05,0.00022781571499789035,2e-05,9.797958971132714e-05,0.000245,0.0003278337993557101,3.0090082472369935e-05,9.559216296530933e-05,3.0027991859706047e-05,0.00012930564842909077,0.00014642837796311904,0.00023676898325701194,0.00013670077129613602,0.00025006650271833925,3.496308826802786e-05,0.0001280612198124117
0.07,0.0002892857142857143,0.0003100979108051428,0.00022500000000000005,0.00028416993335046573,0.001017857142857143,0.0005306306413608438,0.000165189986196946,0.00022356622669921836,0.00023757394998522418,0.0003373924311388018,0.00048574521901851057,0.00039523009547940357,0.0006228489152168455,0.00048009222873797496,0.00019860859204103815,0.00025070533832840413
0.09,0.0009111111111111109,0.0004445833116387235,0.0009333333333333332,0.0004623477393680707,0.0035805555555555556,0.0010728804830288405,0.0006721765084107039,0.0004182947700726655,0.0009507511201392207,0.000651498673558296,0.0019007424874010568,0.0006568756974889902,0.002392904324028692,0.0008339902600902049,0.0008439652985885648,0.0004740853839943981
0.11,0.0022727272727272726,0.0006331085580538236,0.0023977272727272727,0.0008203097328760885,0.00895,0.0014798159925817893,0.0018521216469528084,0.0005755838080478086,0.002286809865696843,0.0007416825775982127,0.00461103386085207,0.0011175708173475833,0.005890457054274096,0.0010626592534321677,0.0021396160780346642,0.0007086827564203673
0.13,0.004932692307692308,0.0010126328534360261,0.004901923076923077,0.0009908960591303207,0.018128846153846155,0.0019990484052736742,0.0037680747738818915,0.0008277152744683231,0.00463115246930335,0.0010083853901148843,0.009279712848691793,0.0011762381902445573,0.012034756774062334,0.0012879013337177816,0.004486432449432825,0.000785288064221602
0.15,0.009126666666666667,0.0012485814172714393,0.008706666666666666,0.0012955307792561317,0.03207,0.001971347536866879,0.007304060368319135,0.001116518357854634,0.008746993414246357,0.0014026633912184998,0.017061450554599348,0.0015861630453106442,0.02202201886165212,0.001975608967744813,0.008225208497537525,0.0010812599490344207
0.17,0.015276470588235296,0.0014478058808114127,0.014216176470588236,0.001411160256631469,0.05112058823529411,0.002659755497777658,0.012329909757904598,0.0013059866184228668,0.014764022071246734,0.0017017966985994077,0.028507639402050765,0.002021063305129855,0.03634196369170397,0.0021846922698690006,0.013764206545640421,0.0014067663992198447
0.19,0.023686842105263155,0.001762173723753416,0.0214671052631579,0.0015219282446020414,0.07624210526315787,0.0028697679117022706,0.01946269923906894,0.0016239172850126455,0.022488488355375317,0.0019610029879310992,0.043067621995996695,0.0021098737199964955,0.0546720759873355,0.002647893010135623,0.02155880549527216,0.0017635051956255054
0.21,0.035145238095238104,0.0020507022744889383,0.030811904761904763,0.0017621766199530902,0.10703452380952382,0.003196693258527576,0.028883186166993532,0.0018801770363065465,0.03280647778335828,0.0022757992663847045,0.06138329300054553,0.0023833578059928814,0.07729554211769817,0.0026942507873547617,0.03140502317071309,0.0017919796747242933
0.23,0.04908913043478261,0.002506644289775304,0.04121739130434782,0.001992957828799295,0.1414304347826087,0.003478760833632882,0.04050976276769326,0.0021729281509957595,0.04407714874072746,0.0022141775387182656,0.08431596346000081,0.003047252479686895,0.10446126463197858,0.0031323462410690396,0.045269992307579845,0.002151807569457265
0.25,0.066214,0.002462357407039035,0.053667000000000006,0.002240895133646374,0.181961,0.0039401749961137525,0.05502142950657957,0.002574678234409798,0.059399928544242746,0.0022403961502768296,0.11128110967677557,0.0031760743414770993,0.13626712014519315,0.002816633426827523,0.060770179130574045,0.0026763720530004966
