N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,2e-05,9.797958971132714e-05,5e-06,4.9749371855331e-05,9.500000000000002e-05,0.00022017038856303998,4.5116473688320346e-06,2.851450528685324e-05,9.512819305653911e-06,6.755658997582626e-05,2.8559699028116118e-05,0.00010691553630493327,3.412605556927013e-05,0.00011751134272989757,6.449700670912048e-06,3.400446764637494e-05
0.07,0.00015000000000000004,0.00023244485850389972,0.0001642857142857143,0.00023915241489690293,0.0006571428571428571,0.0004621378891320518,8.87968737858645e-05,0.00013777129364319813,0.00011694341360527547,0.000218299051886207,0.00036231895268787307,0.0003214201040368087,0.00043606647238311725,0.0003715636791716337,0.00011385314817045993,0.00018379808531438025
0.09,0.0007472222222222224,0.00043513691615682204,0.0007166666666666669,0.0004234266447175829,0.0029638888888888887,0.0008924019121671053,0.00043241203757035337,0.00029459827477183194,0.0006082054613805492,0.00041456824379817276,0.0014144873186691107,0.0005052482078972471,0.0019001255321419294,0.0007247809369477046,0.0005272535393169744,0.0003646518991276133
0.11,0.002161363636363636,0.0006203296577607109,0.0022227272727272725,0.0006544349654220365,0.009031818181818183,0.0013141081254178654,0.001575246609943235,0.0006224323646162307,0.002192872817630952,0.0006890956806685034,0.004231166066804004,0.0009652841148640305,0.005780296242141731,0.001211673679142544,0.0018281308597404965,0.0005827223749574513
0.13,0.005290384615384616,0.0009886542015171507,0.005019230769230769,0.0009399499546038412,0.020488461538461542,0.001735553217396171,0.0038244321357480803,0.0008046174079943584,0.004887611893304682,0.001149056705055048,0.01012602364181529,0.001339308321520444,0.013379684104908385,0.001393600252420882,0.004167171408738428,0.0008511601127861044
0.15000000000000002,0.010681666666666667,0.0012812960018842032,0.010181666666666667,0.00135566609294308,0.039768333333333336,0.0025778861926435428,0.007599031761631168,0.0011435491223208364,0.009810220031381815,0.0014223188329757796,0.02012119169988756,0.001634083458754398,0.026539003951686947,0.002119351248368365,0.008904694494140166,0.0011826098079444605
0.16999999999999998,0.019276364171201647,0.0017557266653852016,0.01759964700691278,0.0015009731377943474,0.06771436976025887,0.0027308602420412164,0.014153989657744354,0.0014664998939446585,0.017610856714410324,0.0017892497766030045,0.03549399476205625,0.002048924486333548,0.045988918490160395,0.0023781464927476064,0.01624865271447655,0.0015254659187133
0.19,0.03140921052631579,0.001998813273266175,0.02777763157894737,0.0016093450044941593,0.10486973684210527,0.0030840878702932174,0.02397269962482743,0.0016899106562565497,0.028154227034127656,0.001929759772576157,0.056959834766825514,0.002547814987293278,0.07287061603307877,0.002787365255302288,0.02647276146920214,0.001774204102634433
0.21000000000000002,0.04820595238095238,0.00268922510945856,0.040861904761904766,0.001608343466888523,0.14985833333333332,0.003815794504217005,0.03669918982381885,0.0019583182698204825,0.042168556022187186,0.002386583848734342,0.08446191372712958,0.0028438818046582883,0.10748632698904449,0.0032655683907982266,0.041032011784597096,0.002225787819058204
0.22999999999999998,0.07036630434782609,0.0027480726619555614,0.05645108695652173,0.0018348247857299406,0.2027315217391305,0.004405102488030977,0.05371492290950387,0.0023432590069618394,0.059804866827661216,0.0023745767604936704,0.11753478001758993,0.003584138824339044,0.14855823856986433,0.0033950678298939464,0.059704231355513414,0.002196293892427228
0.25,0.098921,0.0033533951452222265,0.074383,0.002229217575742664,0.261005,0.004031535067440193,0.07469347695771363,0.002681506634601705,0.08099476190417983,0.0031047838317369556,0.15759443351846408,0.003992872450493542,0.19556303799772945,0.003857073147783341,0.08247567101462444,0.0031952149201561887
