N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,4.5625000000000004e-05,4.909732044623209e-05,6.0625e-05,6.522497125334744e-05,0.00021,0.00011302654555457314,3.674629768951068e-05,5.042219840011453e-05,3.604501712151146e-05,5.5815066287958975e-05,9.944840619029494e-05,8.619030030373025e-05,0.00012258199274465582,8.288735028854674e-05,4.694808242988128e-05,4.484021218937638e-05
0.07,0.00026874999999999995,0.00010695295670985255,0.00026651785714285715,0.00011819064691360795,0.0010785714285714285,0.0002376342263021135,0.00019927072035824786,0.00010344705882009472,0.0002519534739154188,0.0001238054131970152,0.0005265378274676994,0.00012694563983754793,0.0006972479626744478,0.00016602162840432516,0.00023220643316577115,0.00010317223114003877
0.09,0.0009378472222222223,0.0001664129289580071,0.0009281249999999998,0.00020185858779747914,0.0035468750000000005,0.00031608190251455746,0.0006955889115071901,0.0001556773238933726,0.0009080287587673185,0.00016937384624460196,0.001838145414132343,0.00023746586005726685,0.0023863543726461768,0.00027458280964680126,0.0008136270234736411,0.0001376537778043352
0.11,0.002346590909090909,0.0002586631736384099,0.0022923295454545457,0.00023332478200952718,0.008829545454545455,0.0005118053647676612,0.0018038585406536347,0.00023141804629001227,0.0022910043952797114,0.0002464251006106571,0.004570286107005414,0.00035908743864131556,0.005924435704838131,0.00037824849788764477,0.0020602380801168453,0.0002640110585977923
0.13,0.004931250000000001,0.0003125928116613797,0.004786778846153846,0.000351317900610261,0.017988221153846153,0.0005636462577074941,0.0038971506153773054,0.00030571730553701073,0.004817079374761876,0.0003345025511160553,0.009476666517616973,0.00047531591134366993,0.012275110659433047,0.0004923271844167634,0.004443307010109591,0.0003192092679236755
0.15,0.009165000000000001,0.00043180499714055593,0.008804375,0.0004137176367839678,0.031939375,0.0007622329621196308,0.007348964219746437,0.000377045150152174,0.008874007882755178,0.0004764646904000106,0.017034676410064824,0.0005620138252401891,0.022167257269478848,0.0006261271322800255,0.008313681649132184,0.00044732927245015895
0.17,0.015243933823529413,0.0005614227899165029,0.014190992647058823,0.0004749873014943477,0.05133400735294117,0.0009026137937287052,0.012349916366456106,0.00045629246887941903,0.014616890091961812,0.0005396673547526796,0.028207069446795883,0.0007755298498361662,0.036020782590399765,0.0007520572630930524,0.013850257174632143,0.0005075684038896805
0.19,0.023697861842105265,0.0006352435105143722,0.021340953947368423,0.0005512958432439403,0.0762078947368421,0.0010683507641515305,0.01965127675405377,0.0006141009682056382,0.022478281062859543,0.0005911900914717289,0.04287413172827506,0.0007679316885013434,0.05465851634708551,0.0008568991255286455,0.021733525210696998,0.0006339382890384068
0.21,0.03470907738095238,0.0008246018303870792,0.03045059523809524,0.0005883985023936136,0.10656934523809525,0.0012086162948654483,0.028839953885934605,0.00073334552325383,0.032557918957503845,0.0007139128513126675,0.061526136616192044,0.0009039368996742063,0.07724207004483472,0.001016152422489794,0.031933772417842475,0.000722040281795396
0.23,0.04884891304347828,0.0007878538939868997,0.04140108695652173,0.0006732615407965093,0.1419485054347826,0.0012212052890793483,0.04044617254083713,0.0007839081285774454,0.044503753679006296,0.000779904796277904,0.0842857698838421,0.0010426962670038215,0.10492501739700877,0.0011517574561536144,0.044908587612838176,0.0008118184936617348
0.25,0.066206625,0.0010658703236674707,0.053829875,0.0006882856760640889,0.182122,0.0012544447476871984,0.05479990303929475,0.0009280413625115427,0.05918523551643948,0.0007822230071283544,0.11090863470143049,0.0011812953187050866,0.13688876516331347,0.0010317733689991261,0.060384594168998246,0.0008567050711780339
