N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,5.875e-05,7.995115696473691e-05,4.25e-05,7.545694136393287e-05,0.00021625000000000005,0.00016942457761493757,3.3791490047856964e-05,5.7440730454798596e-05,3.58819768318045e-05,6.801334296460947e-05,0.00010611011752497322,0.00010021025214951434,0.000134604068769274,0.00012797051372420568,3.547296386444533e-05,6.0584624770830626e-05
0.07,0.0002607142857142857,0.0001625294321854679,0.0002633928571428571,0.00015276730921668456,0.0010982142857142857,0.000298139426019,0.0002073434485204085,0.00011806308461558046,0.00024094933085923385,0.00015624782981970103,0.000548636880795346,0.00021401448381498103,0.0007332995024480428,0.0002484325381258927,0.00020705715672003308,0.0001390889429104526
0.09,0.0009618055555555556,0.00025484786523253486,0.0009451388888888888,0.00023993934901075248,0.0035999999999999995,0.0005180685878611008,0.000742695773585281,0.00021497280683637832,0.0009368307737284196,0.00027977787386628585,0.0017772323602785807,0.00033485265687566986,0.0023334666210258893,0.0004671510770040527,0.000809047289450518,0.00022264795037363447
0.11,0.0023289772727272725,0.00034434771475504937,0.0023017045454545456,0.0003789815319373581,0.008839772727272727,0.000726259059202968,0.0018627787931568222,0.0003374844381077296,0.0022781077098764685,0.0003707338386383058,0.0045586104828304955,0.00045276347361149097,0.005951869549800778,0.0005359904834866311,0.0020752592632622044,0.00033684766726171575
0.13,0.005,0.0005423537214508605,0.0048831730769230775,0.00045656651904905167,0.017914903846153848,0.0008240012950509011,0.0038814445960889633,0.00045715371364209964,0.0048193287552806725,0.0005379108247885055,0.009498590119944368,0.0007250727971688288,0.012399435120610727,0.0007150700274304025,0.004489281826029473,0.00048415123299084227
0.15,0.009117916666666665,0.0005819941473073418,0.00874875,0.0005268965413416355,0.03204708333333333,0.0010509528579923184,0.007254688994376181,0.0006133863265132682,0.008883725424610897,0.0006773181224099922,0.017092413026674448,0.000814572185701935,0.022189684792548178,0.0010057235434287296,0.008335730322228133,0.0006289567436015353
0.17,0.015214705882352943,0.0007064894754295591,0.014113602941176471,0.0006981015524015098,0.051180514705882356,0.0013995806863252298,0.012334820970360667,0.0007531663738631858,0.01473741066264757,0.0007849774593885595,0.02840726791172424,0.0009726881562155443,0.03590582495379773,0.0011770651012441562,0.013944008135135036,0.0006439063353957255
0.19,0.02357894736842105,0.0008528812987135376,0.021477302631578953,0.0008213427156035838,0.07631776315789471,0.001531982589467691,0.01938760265185463,0.0007737452143861226,0.022555427041240375,0.0008377604418077225,0.04294522372558078,0.0011300452137360426,0.054251905104363465,0.00131962438841653,0.021830816478496315,0.0008784663200281222
0.21,0.03475654761904762,0.0010897115678106793,0.03053035714285714,0.0008664485351473317,0.10655892857142858,0.001633490920656886,0.028706918848601153,0.0009738430483338496,0.03251021232682198,0.0010951736469788332,0.061791332256176855,0.0012303794628518816,0.07724664548561191,0.001375705412112332,0.03199552640811983,0.001150045179494093
0.23,0.0487046195652174,0.0011102068704752607,0.04121005434782609,0.0008017958101339721,0.14230108695652174,0.0016979407284682536,0.0407583632406399,0.0012024270781707494,0.044865321234456995,0.00102781922131523,0.08430179103879422,0.0014259541273413518,0.10514203464404197,0.0014678015302447688,0.044846229371592106,0.0012736628936774424
0.25,0.0661345,0.0014899151821496418,0.05390375000000001,0.001002617667658016,0.18234425,0.0021026972410454134,0.054662111807432634,0.0012339101186295213,0.05909956033755161,0.0011637703144123353,0.1108250407493758,0.0014953204826156172,0.13678729442259274,0.0016300077596094905,0.060385946934120714,0.0013218216984160582
