N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,1.7500000000000002e-05,6.378675411086538e-05,1.7500000000000002e-05,7.292976072907414e-05,9.75e-05,0.00015769828787910159,1.0220852677417877e-05,3.558320755434431e-05,1.8256388523366233e-05,8.499016970569651e-05,3.3381310623674925e-05,8.277956928398089e-05,4.057498049615983e-05,0.00012857878839376362,1.138371399805003e-05,3.833182519486892e-05
0.07,0.0001714285714285714,0.00016154546968426628,0.00015892857142857142,0.0001673148535070381,0.0007321428571428573,0.00041071428571428574,0.00010761874055046307,0.00011580137646538439,0.00011052383610883442,0.00014990452726886653,0.0002746597774179819,0.0001931272609547792,0.0004107538143941274,0.00024912727443600715,0.0001002022672273511,0.000118364693862876
0.09,0.0007236111111111111,0.0003223269705220553,0.0007208333333333333,0.0003097533616633214,0.003109722222222222,0.000673831579041514,0.0004544725448504613,0.0002077886408413339,0.0006498684838861255,0.0003384374116046282,0.0014244815503783772,0.0004022385237564434,0.0019750301570264426,0.00045437890984513035,0.0005828746294802699,0.0003035654876106903
0.11,0.0022284090909090912,0.00046518652395153887,0.0022318181818181816,0.0005168943335596896,0.009187500000000001,0.0010762959466968335,0.0014517117314016017,0.00033307091855873004,0.002068365749717853,0.0005272761925692422,0.004333358237367029,0.000691814304631214,0.005716927364700912,0.0008151037509326301,0.0017224894968327583,0.00040367168832084854
0.13,0.0051884615384615385,0.0007843372433096643,0.005106730769230769,0.000616719555677481,0.02058846153846154,0.0015385384596154808,0.0037175584197498305,0.0004956272270710117,0.0048489569518253076,0.0007583322089428227,0.010178135251116183,0.0008794059549983099,0.013500694444607983,0.001116106538313803,0.004207360676296093,0.0006812448512595087
0.15,0.01068166666666667,0.0009967572422611235,0.010159166666666669,0.0009417842846899117,0.039705000000000004,0.001751999651192253,0.007747445478787012,0.0008214839043170524,0.009874198276274162,0.0009201213030398505,0.02051900144216788,0.0012605974962114493,0.026738287319546812,0.0014253418299131335,0.008993893828158557,0.0009539792300769567
0.17,0.01910441176470588,0.0012309262765372651,0.017593382352941177,0.0011255455712875344,0.06793014705882353,0.0021089069790281825,0.01441185228191574,0.0010257752159371157,0.017395063485281935,0.0011983336595135666,0.03570143805581836,0.0012477162379698997,0.04624494046749152,0.0017712334535564902,0.01608268547080893,0.0009539194106650404
0.19,0.03171315789473684,0.0014137519578546834,0.02781184210526316,0.0011985469908170794,0.10444473684210528,0.0022395556296467716,0.023691007284816826,0.001354960403292674,0.028586902529119017,0.0013517749481636297,0.05681964902834141,0.001753993565528615,0.0730316392161549,0.0023023392319771107,0.02679097225053926,0.0011425242325782108
0.21,0.04797023809523811,0.0018179725226115276,0.04109404761904761,0.0014199087551726253,0.14940714285714285,0.0026032793726497145,0.03679952271326347,0.0012617852586930861,0.04266371834026557,0.0017223956353966446,0.0839508429813378,0.002123288090466719,0.10730166424813017,0.0019616333656309755,0.04150524129693125,0.0015627804888946693
0.23,0.07033152173913043,0.002143103691145598,0.05689076086956523,0.0013076112933220795,0.20345815217391308,0.002552261578655099,0.053821688250672885,0.001881017971103875,0.06052351768501877,0.0017368655983227613,0.11828978938753654,0.002158959300502784,0.14830497170335868,0.0026184096721239333,0.059718282861440125,0.0016169067443825933
0.25,0.09853549999999998,0.0022942786992865534,0.07451650000000001,0.0015538509420147098,0.26156899999999994,0.003115034349730352,0.07446404664160991,0.0020111731006287087,0.0811536188724639,0.001692909699153676,0.15818718544875907,0.0028538077683826703,0.19602935992347173,0.00260876670876057,0.08253700244596246,0.002077352092219067
