N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,1.8125e-05,3.3418510963237126e-05,2.0000000000000005e-05,3.6314597615834875e-05,8.3125e-05,7.074105508825833e-05,8.428273923466424e-06,1.6940707400216187e-05,1.5106279614573375e-05,3.2686216021379894e-05,4.285769033653861e-05,4.733582079549656e-05,4.823722476579386e-05,5.300461690363298e-05,7.774910448281064e-06,1.5884101309162833e-05
0.07,0.0001647321428571429,9.526727138660464e-05,0.00014955357142857142,7.920176338933112e-05,0.0006781250000000001,0.00016724038954573194,0.00010231014928227898,5.650670606177508e-05,0.00012762500473278233,9.263322510183751e-05,0.0002966865740648351,0.00011509880647346821,0.00042384506495452825,0.00015190840850152788,0.00012129206554663792,6.251316117004419e-05
0.09,0.0007357638888888889,0.00016246846500756254,0.0007204861111111111,0.00012920912907180292,0.003050694444444445,0.0003546775998645517,0.00046972960641686914,0.0001307789866603163,0.0006526587059285619,0.00016904207336460438,0.0014245812553654689,0.00020426365338294914,0.0018629072454784676,0.00025768736345917307,0.0005434372341746585,0.00012127930392109428
0.11,0.0022090909090909092,0.0002444542432974231,0.002116193181818182,0.00023252090320811806,0.009001704545454545,0.0005277980949462832,0.0014921876833393882,0.0001903900910715405,0.002015392510194414,0.0002602051312701647,0.004316751231754241,0.000342783552180202,0.005760598475638202,0.00037225499568212245,0.0017163586528261682,0.0002078014281704741
0.13,0.005291826923076924,0.00033847348919023975,0.005086298076923077,0.0003401946823144065,0.020585576923076925,0.0006586847269571592,0.0037370805911440103,0.0003013854254243382,0.0049007740904366045,0.0003616136519430085,0.010156127320414767,0.0005513862968613732,0.013531910351354431,0.0005148334835035374,0.0041749743376002495,0.0002694681382098147
0.15,0.010687083333333333,0.0005215576629993403,0.010153125,0.00040993917866963313,0.039954166666666666,0.0009288910278749958,0.007772881202938186,0.0004034921025786057,0.009809395453437893,0.0004613530316931942,0.020141031102762583,0.0006201966260057098,0.02656939123816603,0.0007594996480089595,0.008865236921689746,0.000363469245657134
0.17,0.019200000000000002,0.0006563219807286233,0.017668198529411764,0.0005419919165623639,0.0676376838235294,0.0009869440442307116,0.014296362868648502,0.0004765709480726687,0.017519811321080023,0.0005193124208183143,0.03559902783106467,0.0007834062191731969,0.046083626019851505,0.0008630886904409214,0.016136320347754998,0.0005403590775300127
0.19,0.031507730263157896,0.0007157348045045419,0.027974013157894734,0.0005890426092092057,0.10461151315789476,0.0011377175810139348,0.02375228505600115,0.0006268579280716669,0.02848395051485155,0.000668933998013393,0.05668235032986372,0.0009553491584548308,0.0729526086291637,0.0010801138825850389,0.026811793836802923,0.0006454638288114513
0.21,0.048328869047619044,0.000965250885651273,0.04100074404761905,0.0006432613333346221,0.14968526785714287,0.001305737856167613,0.036692811970312704,0.0007907609346269066,0.042694416325134175,0.0008909219222198084,0.08430580248198437,0.0009636307574994123,0.106859618409115,0.0013628992874885,0.04126456025177037,0.0008447485838616491
0.23,0.07037173913043478,0.0010463006723121745,0.05650434782608695,0.0007358615374297201,0.20264551630434785,0.0014676394906359823,0.05374949975753605,0.00071984808978282,0.059842001656031305,0.0009257147254662296,0.11773759816528749,0.0012382880732436433,0.14809498471754604,0.0013451117815132842,0.05993260250928886,0.000932115670629059
0.25,0.098506625,0.0013398699272224152,0.07470600000000001,0.0008761376176149504,0.26122625,0.001605611740895041,0.07459321931740887,0.0009235639350237181,0.0807887074431977,0.00102987368089845,0.15773828402621984,0.0013204159030108617,0.19532658982831674,0.0013803250058786098,0.0830876799517705,0.0010593191572400983
