N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,0.00021687500000000005,0.00011403638399651226,0.0002275,0.00012359207094308274,0.0008487499999999999,0.00023637562797378247,0.00020401066890386778,0.0001100049928481825,0.0002511043983923263,0.0001578029020939053,0.00047015511901457607,0.00015610553530969896,0.000583341528995962,0.00017581353745657524,0.0002348151941065361,0.0001269988952638801
0.07,0.0007982142857142859,0.00018048969669276108,0.000765625,0.00019575523799257737,0.002670535714285715,0.0003635244584450338,0.0006949567432741145,0.00016355063951987598,0.0008307648186123314,0.00020377651725546,0.0014783350780484734,0.00024411222930385983,0.0019454347144896417,0.00028367095708758483,0.0007955289089001914,0.0001809331819820672
0.09,0.0018670138888888894,0.0002617261060556424,0.0018770833333333337,0.00023166878995829526,0.0064038194444444455,0.00045965337580327383,0.0017773211442367004,0.00024398738542621054,0.0020004884056846273,0.00027917448250964393,0.0036224370306123565,0.00030671958848393465,0.004613435618610477,0.00037637845194905654,0.0019298003070948697,0.0002679318596934787
0.11,0.00385965909090909,0.0002981471492802957,0.003713920454545455,0.00030594506977229624,0.012461363636363637,0.0005498831816211077,0.003513310229709838,0.0003046170896955293,0.004023061248762603,0.0003493634917360688,0.0072283426110877555,0.000442653578874409,0.008918537529592135,0.00044366238190157443,0.003899590062518422,0.00035326884363661505
0.13,0.006679567307692308,0.00037965026861678733,0.006445432692307693,0.0004030821384489004,0.021093269230769228,0.0007375576649805746,0.006238240594829117,0.00041624715561033567,0.0070055230591024795,0.00043241626615297973,0.012505640997406189,0.0005342110611824802,0.01552012065833478,0.0005757048986605863,0.006919075922979403,0.00046780968235205444
0.15,0.010759583333333333,0.0004493573729350739,0.010100833333333331,0.0004260069769903357,0.03281166666666666,0.0008689119553275299,0.010036099149295602,0.0004501040840707501,0.011162651229420156,0.0005894613191368153,0.019814459200199322,0.0006402703018802209,0.02432222945209577,0.0007411977975173344,0.01097465958234321,0.0005269637729706007
0.17,0.01606654411764706,0.0005782644143600961,0.014766911764705886,0.0005302592277517828,0.04794099264705883,0.0008624928499716173,0.015047516476407903,0.0005702182525362792,0.01637891721160585,0.0005587718260819173,0.029015745436127248,0.0007588844875897598,0.03575314470554157,0.0008040877224158121,0.016474416365604632,0.0005236731082063124
0.19,0.022821874999999995,0.0006524082702036545,0.020598190789473687,0.00048612842760070864,0.06605444078947369,0.0010949325695435766,0.02126180861537532,0.0005881011104013698,0.022918749516473796,0.0006458087925832836,0.040666064014593536,0.0007753111563699492,0.04961146365084018,0.0008835890713743996,0.02332768632704874,0.0006611796374892311
0.21,0.031108779761904765,0.0007445727164969476,0.027295833333333342,0.000587143925239441,0.08669925595238094,0.0013043317237463575,0.02917456891985472,0.000710969800699942,0.030882346915460924,0.0007004066577735695,0.0543235211113273,0.0008920560676258095,0.06589926242244093,0.0009070511503567757,0.03161800988561913,0.0007484495397773978
0.23,0.041214673913043474,0.0007865005510040527,0.03518057065217391,0.0006862349134380398,0.11030923913043476,0.001161528434686005,0.038276791949467516,0.0008286441851238347,0.039923839706730344,0.0006886846754968033,0.07032353678940681,0.0009628709821590109,0.08491109947349472,0.000998425886251712,0.04165873534185423,0.0008536437444229356
0.25,0.05321974999999999,0.0009209797432625758,0.04405662500000001,0.0005683926212355331,0.136657125,0.001270238972349297,0.04896267788839688,0.000710785227706295,0.05035367842221907,0.0007815663232300232,0.0888836510871457,0.0008919958452388136,0.10632525899433241,0.0013283317955475281,0.05333235699915529,0.0009148631427995065
